raw_timestamp,relative_to_unix_epoch_timestamp,device_name,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w
1751960615291,0.3310865,SteamVR Controller (Index Controller) (Right Hand),-0.3151696,1.081865,1.211744,-0.4680651,-0.2788354,0.242561,0.8027018
1751960615291,0.3310865,SteamVR Tracker (Waist),-0.142242,0.9798107,0.2581931,0.0259357,-0.0515554,0.03054833,0.9978659
1751960615329,0.367397,SteamVR Tracker (Right Foot),-4.686858,-1.062508,3.385455,0.1920707,0.0685472,0.8576561,0.4720554
1751960615329,0.367397,SteamVR Tracker (Left Foot),-0.2688543,0.04614544,0.06384462,-0.5522872,-0.261155,-0.1527554,0.7768158
1751960615329,0.367397,SteamVR Controller (Index Controller) (Left Hand),-0.2926257,1.065269,1.176172,-0.3086861,0.4239941,-0.2187336,0.8228594
1751960615329,0.367397,SteamVR Controller (Index Controller) (Right Hand),-0.3151443,1.08182,1.211776,-0.4680816,-0.2788367,0.2426166,0.8026748
1751960615329,0.367397,SteamVR Tracker (Waist),-0.1414641,0.9796318,0.2581847,0.02681678,-0.04980481,0.03056272,0.997931
1751960615359,0.398792,SteamVR Tracker (Right Foot),-4.687016,-1.062485,3.385464,0.1919441,0.06845964,0.8576562,0.4721192
1751960615359,0.398792,SteamVR Tracker (Left Foot),-0.2688767,0.04619932,0.06390244,-0.5523758,-0.2610855,-0.1527309,0.776781
1751960615359,0.398792,SteamVR Controller (Index Controller) (Left Hand),-0.2926615,1.065388,1.176156,-0.3087069,0.4239878,-0.2188185,0.8228323
1751960615359,0.398792,SteamVR Controller (Index Controller) (Right Hand),-0.3151184,1.081776,1.211829,-0.4680803,-0.2788405,0.2426377,0.8026679
1751960615359,0.398792,SteamVR Tracker (Waist),-0.1406847,0.979564,0.2581522,0.02743061,-0.04919343,0.0308519,0.9979358
1751960615390,0.4298419,SteamVR Tracker (Right Foot),-4.686955,-1.062496,3.38541,0.1918196,0.06852521,0.85767,0.4721353
1751960615390,0.4298419,SteamVR Tracker (Left Foot),-0.2687726,0.0462575,0.0638783,-0.5523901,-0.2610004,-0.1527779,0.7767901
1751960615390,0.4298419,SteamVR Controller (Index Controller) (Left Hand),-0.2926269,1.065331,1.176111,-0.3086746,0.4239754,-0.2187231,0.8228761
1751960615390,0.4298419,SteamVR Controller (Index Controller) (Right Hand),-0.315071,1.081716,1.21189,-0.4680525,-0.2788534,0.242601,0.8026907
1751960615391,0.4298419,SteamVR Tracker (Waist),-0.1400887,0.9796264,0.2582397,0.02710241,-0.04812757,0.03109147,0.9979892
1751960615420,0.4603399,SteamVR Tracker (Right Foot),-4.686876,-1.062521,3.385347,0.191806,0.06859023,0.8576827,0.4721083
1751960615420,0.4603399,SteamVR Tracker (Left Foot),-0.2688266,0.04626369,0.06385034,-0.5523631,-0.260885,-0.1527655,0.7768505
1751960615420,0.4603399,SteamVR Controller (Index Controller) (Left Hand),-0.2926383,1.065328,1.176105,-0.3087012,0.4240182,-0.2187735,0.8228307
1751960615421,0.4603399,SteamVR Controller (Index Controller) (Right Hand),-0.3150463,1.081642,1.211941,-0.4680639,-0.2788931,0.2426666,0.8026505
1751960615421,0.4603399,SteamVR Tracker (Waist),-0.139774,0.9794831,0.2583286,0.02714553,-0.04791925,0.0314443,0.997987
1751960615446,0.4895809,SteamVR Tracker (Right Foot),-4.686893,-1.06253,3.385418,0.1917259,0.06869735,0.8576297,0.4722216
1751960615446,0.4895809,SteamVR Tracker (Left Foot),-0.2688597,0.04645276,0.06390452,-0.5522826,-0.2609224,-0.1527391,0.7769004
1751960615447,0.4895809,SteamVR Controller (Index Controller) (Left Hand),-0.2925004,1.065399,1.175904,-0.3086542,0.4240124,-0.2187387,0.8228606
1751960615447,0.4895809,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615447,0.4895809,SteamVR Tracker (Waist),-0.139519,0.979426,0.2583256,0.02661567,-0.04793131,0.03165146,0.9979942
1751960615483,0.5232055,SteamVR Tracker (Right Foot),-4.686889,-1.062511,3.385418,0.1916825,0.06878948,0.8576701,0.4721523
1751960615483,0.5232055,SteamVR Tracker (Left Foot),-0.2688635,0.04637861,0.06385815,-0.5521977,-0.2609015,-0.1526859,0.7769781
1751960615483,0.5232055,SteamVR Controller (Index Controller) (Left Hand),-0.2924631,1.06533,1.175945,-0.3087081,0.4240035,-0.2187659,0.8228377
1751960615483,0.5232055,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615483,0.5232055,SteamVR Tracker (Waist),-0.1393786,0.9795146,0.25844,0.02594023,-0.04769447,0.0318803,0.9980161
1751960615510,0.5521425,SteamVR Tracker (Right Foot),-4.68687,-1.0625,3.385422,0.1916258,0.06891006,0.8576677,0.4721622
1751960615510,0.5521425,SteamVR Tracker (Left Foot),-0.2688635,0.04635549,0.06383926,-0.5521314,-0.2609629,-0.1527057,0.7770008
1751960615511,0.5521425,SteamVR Controller (Index Controller) (Left Hand),-0.2925987,1.065204,1.176163,-0.3086888,0.4240938,-0.2187548,0.8228014
1751960615511,0.5521425,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615511,0.5521425,SteamVR Tracker (Waist),-0.1393321,0.979629,0.258765,0.02554501,-0.04770125,0.03203643,0.9980209
1751960615541,0.5810789,SteamVR Tracker (Right Foot),-4.68679,-1.062527,3.385422,0.1915647,0.06902522,0.8576435,0.4722141
1751960615541,0.5810789,SteamVR Tracker (Left Foot),-0.2689345,0.04632187,0.06387597,-0.5519764,-0.2610112,-0.1526622,0.7771032
1751960615541,0.5810789,SteamVR Controller (Index Controller) (Left Hand),-0.2926188,1.065226,1.176122,-0.3087153,0.4240861,-0.2188019,0.8227829
1751960615541,0.5810789,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615541,0.5810789,SteamVR Tracker (Waist),-0.1393826,0.9796534,0.2589347,0.02525815,-0.04760011,0.0321655,0.9980289
1751960615570,0.6114176,SteamVR Tracker (Right Foot),-4.686876,-1.062475,3.385488,0.1915247,0.06915082,0.8576111,0.4722707
1751960615570,0.6114176,SteamVR Tracker (Left Foot),-0.2689771,0.04631519,0.06383097,-0.5519623,-0.261036,-0.15263,0.7771112
1751960615571,0.6114176,SteamVR Controller (Index Controller) (Left Hand),-0.2926398,1.065227,1.176133,-0.3086947,0.4240979,-0.2187957,0.8227862
1751960615571,0.6114176,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615571,0.6114176,SteamVR Tracker (Waist),-0.1395501,0.9796119,0.2591667,0.02501793,-0.04864251,0.03236381,0.9979783
1751960615598,0.6372992,SteamVR Tracker (Right Foot),-4.686897,-1.062465,3.385442,0.1915242,0.06933944,0.8576209,0.4722255
1751960615598,0.6372992,SteamVR Tracker (Left Foot),-0.2690372,0.046314,0.0638113,-0.5518454,-0.2611492,-0.1526261,0.7771571
1751960615598,0.6372992,SteamVR Controller (Index Controller) (Left Hand),-0.292622,1.0653,1.1761,-0.3087063,0.4241166,-0.2187773,0.8227771
1751960615599,0.6372992,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615599,0.6372992,SteamVR Tracker (Waist),-0.1396879,0.9795442,0.2595658,0.02482777,-0.04893873,0.03234243,0.9979692
1751960615623,0.6636075,SteamVR Tracker (Right Foot),-4.686825,-1.062482,3.385323,0.1915675,0.06937061,0.8576149,0.4722143
1751960615623,0.6636075,SteamVR Tracker (Left Foot),-0.2690505,0.04631901,0.06385809,-0.5517595,-0.2611826,-0.1525639,0.777219
1751960615623,0.6636075,SteamVR Controller (Index Controller) (Left Hand),-0.292525,1.065346,1.176132,-0.3086686,0.4240538,-0.2188421,0.8228063
1751960615623,0.6636075,SteamVR Controller (Index Controller) (Right Hand),0,0,0,0,0,0,1
1751960615623,0.6636075,SteamVR Tracker (Waist),-0.1402014,0.979351,0.2600607,0.02540443,-0.0496194,0.03228727,0.9979229
1751960615651,0.6921001,SteamVR Tracker (Right Foot),-4.686948,-1.062279,3.385465,0.1915195,0.06937448,0.8576341,0.4721984
1751960615652,0.6921001,SteamVR Tracker (Left Foot),-0.2690134,0.04612923,0.06403029,-0.551424,-0.2612707,-0.1525129,0.7774375
1751960615652,0.6921001,SteamVR Controller (Index Controller) (Left Hand),-0.2925713,1.065399,1.175908,-0.3088101,0.4240824,-0.2188628,0.822733
1751960615652,0.6921001,SteamVR Controller (Index Controller) (Right Hand),-0.3154784,1.081474,1.211671,-0.4682281,-0.278617,0.242909,0.8025773
1751960615652,0.6921001,SteamVR Tracker (Waist),-0.1408632,0.9790337,0.2613959,0.02674484,-0.05084919,0.03236322,0.9978235
1751960615681,0.7204393,SteamVR Tracker (Right Foot),-4.686925,-1.062349,3.38551,0.1916578,0.06956525,0.8576694,0.4720502
1751960615681,0.7204393,SteamVR Tracker (Left Foot),-0.2688291,0.04622149,0.06401986,-0.551136,-0.2613613,-0.1524455,0.7776245
1751960615681,0.7204393,SteamVR Controller (Index Controller) (Left Hand),-0.2925462,1.065467,1.176013,-0.3086313,0.4240553,-0.2188187,0.8228258
1751960615681,0.7204393,SteamVR Controller (Index Controller) (Right Hand),-0.3155594,1.081347,1.211673,-0.4681834,-0.2787161,0.2429788,0.8025479
