raw_timestamp,relative_to_unix_epoch_timestamp,device_name,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w
1752138796136,0,SteamVR Tracker (Right Foot),-1.385644,0.7783661,1.140111,-0.6723533,-0.2212953,-0.2241907,0.6698567
1752138796137,0,SteamVR Tracker (Left Foot),-1.09989,0.7698151,1.25505,-0.6929449,-0.08197442,-0.0867121,0.7110475
1752138796137,0,SteamVR Tracker (Waist),-0.9841226,0.763214,1.133649,-0.7161562,0.05190453,0.0449043,0.6945573
1752138796137,0,SteamVR Controller (Index Controller) (Left Hand),-0.3065229,1.073598,1.200763,-0.3386838,0.3094898,-0.2577176,0.8503476
1752138796137,0,SteamVR Controller (Index Controller) (Right Hand),-0.3092928,1.090137,1.229646,-0.4722125,-0.2507995,0.240201,0.8101966
1752138798181,0.01999999,SteamVR Tracker (Right Foot),-1.385561,0.7784994,1.140023,-0.6724043,-0.2212919,-0.2240385,0.6698576
1752138798181,0.01999999,SteamVR Tracker (Left Foot),-1.099953,0.7697581,1.25489,-0.6930891,-0.08168703,-0.086515,0.710964
1752138798181,0.01999999,SteamVR Tracker (Waist),-0.984151,0.7632605,1.133478,-0.716399,0.05193042,0.04501071,0.6942981
1752138798181,0.01999999,SteamVR Controller (Index Controller) (Left Hand),-0.3066359,1.073535,1.200514,-0.3383405,0.3099082,-0.2578658,0.850287
1752138798181,0.01999999,SteamVR Controller (Index Controller) (Right Hand),-0.3100882,1.090975,1.229772,-0.4731525,-0.2463696,0.2321841,0.8133383
1752138798229,0.0999103,SteamVR Tracker (Right Foot),-1.385669,0.7784253,1.140016,-0.6724791,-0.2213061,-0.2240919,0.6697599
1752138798229,0.0999103,SteamVR Tracker (Left Foot),-1.099952,0.7698121,1.254857,-0.6930247,-0.08179311,-0.08671414,0.7109904
1752138798229,0.0999103,SteamVR Tracker (Waist),-0.9841411,0.7633643,1.133419,-0.7163647,0.05193296,0.04499672,0.6943341
1752138798229,0.0999103,SteamVR Controller (Index Controller) (Left Hand),-0.3065513,1.073522,1.200492,-0.3380647,0.3099165,-0.2580183,0.8503474
1752138798229,0.0999103,SteamVR Controller (Index Controller) (Right Hand),-0.3100455,1.091367,1.229803,-0.4734076,-0.2450823,0.2298403,0.814244
1752138798239,0.1110372,SteamVR Tracker (Right Foot),-1.385667,0.7783467,1.140033,-0.6724364,-0.2213161,-0.2241162,0.6697914
1752138798239,0.1110372,SteamVR Tracker (Left Foot),-1.099948,0.7697684,1.254923,-0.6929942,-0.08178627,-0.08671143,0.7110212
1752138798240,0.1110372,SteamVR Tracker (Waist),-0.984138,0.7633191,1.133472,-0.7163216,0.05189693,0.04499265,0.6943815
1752138798240,0.1110372,SteamVR Controller (Index Controller) (Left Hand),-0.3065291,1.073532,1.200497,-0.3379877,0.3099042,-0.258001,0.8503877
1752138798240,0.1110372,SteamVR Controller (Index Controller) (Right Hand),-0.3100185,1.091376,1.229794,-0.4733475,-0.2450318,0.2297951,0.814307
1752138798249,0.1222329,SteamVR Tracker (Right Foot),-1.385433,0.7783231,1.140052,-0.6724592,-0.221264,-0.2241525,0.6697735
1752138798249,0.1222329,SteamVR Tracker (Left Foot),-1.099775,0.7697098,1.254915,-0.6930202,-0.08180122,-0.08676615,0.7109875
1752138798249,0.1222329,SteamVR Tracker (Waist),-0.9840131,0.763263,1.133458,-0.7163501,0.05196499,0.04497973,0.694348
1752138798249,0.1222329,SteamVR Controller (Index Controller) (Left Hand),-0.3064906,1.073472,1.200608,-0.3380065,0.3099134,-0.2580233,0.8503701
1752138798249,0.1222329,SteamVR Controller (Index Controller) (Right Hand),-0.3099955,1.091254,1.229861,-0.4733207,-0.2450683,0.2298465,0.8142971
