raw_timestamp,relative_to_unix_epoch_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_status,left_pupil_diameter,left_iris_diameter,left_pupil_iris_ratio,left_eye_openness,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_status,right_pupil_diameter,right_iris_diameter,right_pupil_iris_ratio,right_eye_openness,inter_pupillary_distance
1000575489451220500,1746542778033,0,1.114713,2830744,0,Valid,-0.06897808,0.1951206,0.9783506,0,0,0,-0.04641635,0.1953756,0.9796295,-0.02958225,0,0,Tracked,5.003045,12.24208,0.4086761,0.9995811,-0.09919234,0.1946218,0.97585,0.02958225,0,0,Compensated,5.265259,12.08619,0.4356427,0.954181,58.15
1000575489456216200,1746542778034,0,2,2830745,0,Valid,-0.06742652,0.1930007,0.9788792,0,0,0,-0.04715445,0.1932257,0.9800205,-0.02958225,0,0,Tracked,5.002263,12.24208,0.4086123,0.9995944,-0.09824149,0.1925052,0.9763659,0.02958225,0,0,Compensated,5.269551,12.08619,0.4359979,0.9545102,58.15
1000575489461216300,1746542778034,0,2,2830746,0,Valid,-0.06740814,0.1918977,0.9790972,0,0,0,-0.04709557,0.1921217,0.9802404,-0.02958225,0,0,Compensated,5.005516,12.24208,0.408878,0.9996074,-0.09676264,0.1914326,0.9767244,0.02958225,0,0,Compensated,5.268663,12.08619,0.4359244,0.9550368,58.15
1000575489466215600,1746542778034,0,2,2830747,0,Valid,-0.06819002,0.1912561,0.9791687,0,0,0,-0.04770162,0.1914841,0.9803359,-0.02958225,0,0,Tracked,5.004625,12.24208,0.4088053,0.9996198,-0.09664984,0.1908048,0.9768584,0.02958225,0,0,Tracked,5.270027,12.08619,0.4360373,0.9553726,58.15
1000575489471214900,1746542778034,0,2,2830748,0,Valid,-0.0690504,0.1921019,0.9789428,0,0,0,-0.0476415,0.1923428,0.9801707,-0.02958225,0,0,Tracked,5.008025,12.24208,0.4090829,0.9996319,-0.09774157,0.1916395,0.9765863,0.02958225,0,0,Compensated,5.277418,12.08619,0.4366487,0.9557791,58.15
1000575489476207100,1746542778035,0,2,2830749,0,Valid,-0.0698101,0.192707,0.9787699,0,0,0,-0.04779144,0.1929576,0.9800425,-0.02958225,0,0,Tracked,5.011744,12.24208,0.4093867,0.9996436,-0.09879246,0.1922333,0.9763639,0.02958225,0,0,Compensated,5.285685,12.08619,0.4373328,0.9562373,58.15
1000575489481207500,1746542778035,0,2,2830750,0,Valid,-0.07042487,0.1932142,0.9786259,0,0,0,-0.04786676,0.1934731,0.9799372,-0.02958225,0,0,Tracked,5.015025,12.24208,0.4096548,0.9996549,-0.09961464,0.1927317,0.976182,0.02958225,0,0,Compensated,5.293213,12.08619,0.4379557,0.9563689,58.15
1000575489486222900,1746542778035,0,2,2830751,0,Valid,-0.07096059,0.193202,0.9785896,0,0,0,-0.04828891,0.1934643,0.9799182,-0.02958225,0,0,Tracked,5.01444,12.24208,0.409607,0.9996658,-0.1002508,0.1927145,0.9761204,0.02958225,0,0,Compensated,5.29963,12.08619,0.4384865,0.9566584,58.15
1000575489491223000,1746542778035,0,1.117406,2830752,0,Valid,-0.07126416,0.1937007,0.978469,0,0,0,-0.04808016,0.1939699,0.9798285,-0.02958225,0,0,Tracked,5.018072,12.24208,0.4099036,0.9996763,-0.1007166,0.193207,0.975975,0.02958225,0,0,Compensated,5.305999,12.08619,0.4390135,0.9569001,58.15
1000575489496238300,1746542778035,0,1.120812,2830753,0,Valid,-0.07153152,0.1938913,0.9784117,0,0,0,-0.04806596,0.1941646,0.9797907,-0.02958225,0,0,Tracked,5.023325,12.24208,0.4103328,0.9996866,-0.1005433,0.1934042,0.9759538,0.02958225,0,0,Compensated,5.311209,12.08619,0.4394446,0.9572351,58.15
1000575489501238400,1746542778035,0,1.105589,2830754,0,Valid,-0.07150799,0.1942326,0.9783457,0,0,0,-0.04768162,0.1945096,0.979741,-0.02958225,0,0,Tracked,5.029515,12.24208,0.4108384,0.9996964,-0.1008812,0.1937377,0.9758528,0.02958225,0,0,Compensated,5.319235,12.08619,0.4401087,0.9575273,58.15
1000575489506238500,1746542778035,0,1.101656,2830755,0,Valid,-0.07169534,0.1944009,0.9782985,0,0,0,-0.0476976,0.1946806,0.9797063,-0.02958225,0,0,Tracked,5.029321,12.24208,0.4108225,0.999706,-0.1010861,0.1939041,0.9757985,0.02958225,0,0,Compensated,5.324266,12.08619,0.4405249,0.9577647,58.15
1000575489511237200,1746542778035,0,1.100002,2830756,0,Valid,-0.07180405,0.1945378,0.9782634,0,0,0,-0.04772128,0.194819,0.9796776,-0.02958225,0,0,Tracked,5.036343,12.24208,0.4113961,0.9997153,-0.1011895,0.1940401,0.9757608,0.02958225,0,0,Compensated,5.326345,12.08619,0.440697,0.9579926,58.15
1000575489516230900,1746542778035,0,1.099843,2830757,0,Valid,-0.07190602,0.1946677,0.9782301,0,0,0,-0.04775513,0.1949503,0.9796498,-0.02958225,0,0,Tracked,5.042062,12.24208,0.4118633,0.9997242,-0.1012307,0.1941703,0.9757306,0.02958225,0,0,Compensated,5.328948,12.08619,0.4409124,0.9582567,58.15
1000575489521220300,1746542778035,0,1.10868,2830758,0,Valid,-0.07183339,0.1946478,0.9782394,0,0,0,-0.04765925,0.1949302,0.9796585,-0.02958225,0,0,Tracked,5.046016,12.24208,0.4121862,0.9997329,-0.1007114,0.1941597,0.9757864,0.02958225,0,0,Compensated,5.332084,12.08619,0.4411718,0.9584562,58.15
1000575489526218100,1746542778035,0,1.110259,2830759,0,Valid,-0.07183898,0.1947432,0.9782199,0,0,0,-0.04764301,0.1950259,0.9796402,-0.02958225,0,0,Tracked,5.049404,12.24208,0.412463,0.9997413,-0.1006202,0.1942568,0.9757766,0.02958225,0,0,Compensated,5.338418,12.08619,0.4416959,0.958759,58.15
1000575489531209800,1746542778035,0,1.101354,2830760,0,Valid,-0.07146898,0.1949055,0.9782147,0,0,0,-0.0470814,0.1951885,0.979635,-0.02958225,0,0,Tracked,5.05915,12.24208,0.4132591,0.9997494,-0.1004893,0.1944161,0.9757583,0.02958225,0,0,Compensated,5.343414,12.08619,0.4421093,0.9589188,58.15
1000575489536207600,1746542778035,0,1.09651,2830761,0,Valid,-0.07118267,0.1949829,0.9782202,0,0,0,-0.04674743,0.1952651,0.9796358,-0.02958225,0,0,Tracked,5.063214,12.24208,0.4135911,0.9997572,-0.1003929,0.1944912,0.9757532,0.02958225,0,0,Compensated,5.347256,12.08619,0.4424271,0.9590638,58.15
1000575489541206700,1746542778035,0,1.101706,2830762,0,Valid,-0.07108426,0.194933,0.9782373,0,0,0,-0.04664037,0.1952147,0.9796509,-0.02958225,0,0,Tracked,5.06608,12.24208,0.4138252,0.9997648,-0.1000348,0.1944471,0.9757988,0.02958225,0,0,Compensated,5.350296,12.08619,0.4426787,0.9592049,58.15
1000575489546203300,1746542778035,0,1.107934,2830763,0.100238,Valid,-0.07095999,0.1948474,0.9782633,0,0,0,-0.04655144,0.1951281,0.9796724,-0.02958225,0,0,Tracked,5.068568,12.24208,0.4140284,0.9997721,-0.09964783,0.1943676,0.9758543,0.02958225,0,0,Compensated,5.352979,12.08619,0.4429006,0.9593657,58.15
1000575489551202400,1746542778035,0,1.115754,2830764,0.2158325,Valid,-0.07085584,0.1946696,0.9783063,0,0,0,-0.04654147,0.1949486,0.9797086,-0.02958225,0,0,Tracked,5.069664,12.24208,0.414118,0.9997793,-0.09926746,0.1941962,0.9759272,0.02958225,0,0,Compensated,5.355331,12.08619,0.4430952,0.9595446,58.15
