raw_timestamp,relative_to_unix_epoch_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_status,left_pupil_diameter,left_iris_diameter,left_pupil_iris_ratio,left_eye_openness,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_status,right_pupil_diameter,right_iris_diameter,right_pupil_iris_ratio,right_eye_openness,inter_pupillary_distance
1000652868777692300,1746620157314,0,2,3585202,0,Valid,0.4406829,0.1374485,0.8870775,0,0,0,0.4244693,0.1383145,0.8948156,-0.03456065,0,0,Compensated,3.809045,12.05883,0.3158718,0.7478141,0.441119,0.1374157,0.8868658,0.03456065,0,0,Compensated,3.7691,12.11912,0.3110044,0.8294821,69.15
1000652868782704800,1746620157315,0,2,3585203,0,Valid,0.4349862,0.1367893,0.8899863,0,0,0,0.4222057,0.1358861,0.8962574,-0.03456065,0,0,Compensated,3.757386,12.05883,0.3115879,0.7522058,0.4353933,0.1367594,0.8897918,0.03456065,0,0,Compensated,3.765854,12.11912,0.3107365,0.8292106,69.15
1000652868787722600,1746620157315,0,2,3585204,0,Valid,0.4298662,0.1359716,0.8925955,0,0,0,0.4199421,0.1338516,0.8976259,-0.03456065,0,0,Compensated,3.756362,12.05883,0.311503,0.7562284,0.4302249,0.1359459,0.8924266,0.03456065,0,0,Compensated,3.764966,12.11912,0.3106633,0.8295857,69.15
1000652868792719200,1746620157315,0,2,3585205,0,Valid,0.424404,0.1351926,0.8953235,0,0,0,0.4168019,0.1323585,0.8993094,-0.03456065,0,0,Compensated,3.757271,12.05883,0.3115784,0.7600509,0.4247141,0.1351709,0.8951797,0.03456065,0,0,Compensated,3.765913,12.11912,0.3107414,0.8298074,69.15
1000652868797692000,1746620157315,0,2,3585206,0,Valid,0.4188802,0.1345445,0.8980184,0,0,0,0.4133861,0.1313859,0.901027,-0.03456065,0,0,Compensated,3.7572,12.05883,0.3115725,0.763703,0.419142,0.1345266,0.897899,0.03456065,0,0,Compensated,3.776935,12.11912,0.3116509,0.8302371,69.15
1000652868802693700,1746620157315,0,2,3585207,0,Valid,0.4131979,0.1319601,0.9010294,0,0,0,0.4098606,0.1276613,0.9031704,-0.03456065,0,0,Compensated,3.750744,12.05883,0.3110371,0.7670206,0.4134157,0.1319457,0.9009316,0.03456065,0,0,Compensated,3.778101,12.11912,0.3117471,0.8304982,69.15
1000652868807695400,1746620157315,0,2,3585208,0,Valid,0.4084165,0.1310766,0.9033355,0,0,0,0.4069362,0.1269459,0.9045926,-0.03456065,0,0,Compensated,3.731606,12.05883,0.30945,0.7707287,0.4085917,0.1310654,0.9032578,0.03456065,0,0,Compensated,3.782089,12.11912,0.3120761,0.8305048,69.15
1000652868812697100,1746620157315,0,2,3585209,0,Valid,0.4049134,0.1306507,0.9049727,0,0,0,0.4048156,0.1269292,0.9055459,-0.03456065,0,0,Compensated,3.674302,12.05883,0.304698,0.7739668,0.4050508,0.130642,0.9049125,0.03456065,0,0,Compensated,3.799433,12.11912,0.3135073,0.8311023,69.15
1000652868817698800,1746620157315,0,2,3585210,0,Valid,0.4000356,0.1289025,0.9073895,0,0,0,0.4020751,0.1250373,0.9070289,-0.03456065,0,0,Compensated,3.63591,12.05883,0.3015143,0.7770621,0.4001458,0.1288957,0.9073418,0.03456065,0,0,Tracked,3.819538,12.11912,0.3151662,0.8370908,69.15
1000652868822699000,1746620157315,0,2,3585211,0,Valid,0.3950684,0.1268082,0.9098575,0,0,0,0.3996106,0.1228521,0.9084155,-0.03456065,0,0,Compensated,3.627434,12.05883,0.3008114,0.7786121,0.3951561,0.126803,0.9098201,0.03456065,0,0,Tracked,3.819392,12.11912,0.3151542,0.8438246,69.15
