raw_timestamp,relative_to_unix_epoch_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y,inter_pupillary_distance_in_mm,left_iris_diameter_in_mm,left_pupil_diameter_in_mm,left_pupil_iris_diameter_ratio,left_eye_openness,right_iris_diameter_in_mm,right_pupil_diameter_in_mm,right_pupil_iris_diameter_ratio,right_eye_openness
1000048582229711800,1746015873367508300,-5510300,2.000000,9705319,1.000000,2,0.065101,0.037245,0.997183,0.000000,0.000000,0.000000,0.466262,0.201341,-0.342411,0.201117,0.080500,0.037203,0.996060,-0.035162,0.000000,0.000000,0.076876,2,0.449003,0.201341,0.049655,0.037278,0.998071,0.035162,0.000000,0.000000,0.073999,2,-0.325021,0.201117,72.474998,12.474135,5.377717,0.431109,0.905554,12.488280,5.134568,0.411151,0.914523
1000048582234714400,1746015873372510900,-507700,2.000000,9705320,1.000000,2,0.065123,0.037335,0.997179,0.000000,0.000000,0.000000,0.466282,0.201434,-0.342391,0.201211,0.080452,0.037293,0.996061,-0.035162,0.000000,0.000000,0.076857,2,0.448960,0.201434,0.049748,0.037368,0.998063,0.035162,0.000000,0.000000,0.073969,2,-0.324939,0.201211,72.474998,12.474135,5.375919,0.430965,0.905525,12.488280,5.132465,0.410983,0.914534
1000048582239720000,1746015873377516500,4497900,2.000000,9705321,1.000000,2,0.065353,0.037245,0.997167,0.000000,0.000000,0.000000,0.466485,0.201341,-0.342187,0.201118,0.080660,0.037204,0.996047,-0.035162,0.000000,0.000000,0.076858,2,0.449144,0.201341,0.050000,0.037278,0.998053,0.035162,0.000000,0.000000,0.073946,2,-0.324715,0.201118,72.474998,12.474135,5.374510,0.430852,0.905479,12.488280,5.130777,0.410847,0.914524
1000048582244719600,1746015873382516100,9497500,2.000000,9705322,1.000000,2,0.065029,0.037823,0.997166,0.000000,0.000000,0.000000,0.466201,0.201944,-0.342473,0.201722,0.080484,0.037780,0.996040,-0.035162,0.000000,0.000000,0.076846,2,0.448990,0.201944,0.049527,0.037856,0.998055,0.035162,0.000000,0.000000,0.073928,2,-0.325133,0.201722,72.474998,12.474135,5.373027,0.430733,0.905442,12.488280,5.129208,0.410722,0.914545
1000048582249721100,1746015873387517600,14499000,2.000000,9705323,1.000000,2,0.065107,0.037744,0.997164,0.000000,0.000000,0.000000,0.466269,0.201863,-0.342405,0.201640,0.080527,0.037702,0.996039,-0.035162,0.000000,0.000000,0.076853,2,0.449028,0.201863,0.049640,0.037778,0.998052,0.035162,0.000000,0.000000,0.073906,2,-0.325033,0.201640,72.474998,12.474135,5.371828,0.430637,0.905422,12.488280,5.127504,0.410585,0.914517
1000048582254722600,1746015873392519100,19500500,2.000000,9705324,1.000000,2,0.065153,0.037808,0.997159,0.000000,0.000000,0.000000,0.466310,0.201929,-0.342364,0.201707,0.080521,0.037765,0.996037,-0.035162,0.000000,0.000000,0.076846,2,0.449023,0.201929,0.049739,0.037841,0.998045,0.035162,0.000000,0.000000,0.073871,2,-0.324946,0.201707,72.474998,12.474135,5.370583,0.430537,0.905409,12.488280,5.125485,0.410424,0.914548
1000048582259719900,1746015873397516400,24497800,2.000000,9705325,1.000000,2,0.065386,0.037854,0.997142,0.000000,0.000000,0.000000,0.466516,0.201979,-0.342157,0.201756,0.080852,0.037811,0.996009,-0.035162,0.000000,0.000000,0.076853,2,0.449316,0.201979,0.049873,0.037888,0.998037,0.035162,0.000000,0.000000,0.073824,2,-0.324827,0.201756,72.474998,12.474135,5.369483,0.430449,0.905371,12.488280,5.123167,0.410238,0.914516
1000048582264721400,1746015873402517900,29499300,2.000000,9705326,1.000000,2,0.065332,0.037465,0.997160,0.000000,0.000000,0.000000,0.466467,0.201572,-0.342206,0.201348,0.080575,0.037423,0.996046,-0.035162,0.000000,0.000000,0.076798,2,0.449070,0.201572,0.050042,0.037499,0.998043,0.035162,0.000000,0.000000,0.073784,2,-0.324678,0.201348,72.474998,12.474135,5.367413,0.430283,0.905341,12.488280,5.120575,0.410030,0.914509
1000048582269721900,1746015873407518400,34499800,2.000000,9705327,1.000000,2,0.065493,0.037524,0.997147,0.000000,0.000000,0.000000,0.466609,0.201634,-0.342063,0.201411,0.080800,0.037482,0.996025,-0.035162,0.000000,0.000000,0.076769,2,0.449269,0.201634,0.050140,0.037558,0.998036,0.035162,0.000000,0.000000,0.073755,2,-0.324591,0.201411,72.474998,12.474135,5.365266,0.430111,0.905294,12.488280,5.118323,0.409850,0.914503
1000048582274719400,1746015873412515900,39497300,2.000000,9705328,1.000000,2,0.065355,0.037559,0.997155,0.000000,0.000000,0.000000,0.466487,0.201670,-0.342185,0.201447,0.080608,0.037517,0.996040,-0.035162,0.000000,0.000000,0.076736,2,0.449099,0.201670,0.050055,0.037593,0.998039,0.035162,0.000000,0.000000,0.073696,2,-0.324666,0.201447,72.474998,12.474135,5.362851,0.429918,0.905321,12.488280,5.115531,0.409627,0.914498
1000048582279720900,1746015873417517400,44498800,2.000000,9705329,1.000000,2,0.065214,0.037537,0.997165,0.000000,0.000000,0.000000,0.466363,0.201646,-0.342310,0.201423,0.080258,0.037496,0.996069,-0.035162,0.000000,0.000000,0.076714,2,0.448790,0.201646,0.050125,0.037570,0.998036,0.035162,0.000000,0.000000,0.073682,2,-0.324604,0.201423,72.474998,12.474135,5.360507,0.429730,0.905338,12.488280,5.113327,0.409450,0.914499
1000048582284722400,1746015873422518900,49500300,2.000000,9705330,1.000000,2,0.065345,0.037286,0.997166,0.000000,0.000000,0.000000,0.466478,0.201384,-0.342194,0.201161,0.080352,0.037245,0.996071,-0.035162,0.000000,0.000000,0.076689,2,0.448872,0.201384,0.050295,0.037319,0.998037,0.035162,0.000000,0.000000,0.073656,2,-0.324454,0.201161,72.474998,12.474135,5.358612,0.429578,0.905325,12.488280,5.111495,0.409303,0.914518
1000048582289721400,1746015873427517900,54499300,2.000000,9705331,1.000000,2,0.065298,0.037417,0.997164,0.000000,0.000000,0.000000,0.466437,0.201521,-0.342236,0.201298,0.080404,0.037376,0.996061,-0.035162,0.000000,0.000000,0.076679,2,0.448919,0.201521,0.050147,0.037450,0.998039,0.035162,0.000000,0.000000,0.073629,2,-0.324585,0.201298,72.474998,12.474135,5.357108,0.429457,0.905332,12.488280,5.109329,0.409130,0.914512
1000048582294719200,1746015873432515700,59497100,2.000000,9705332,1.000000,2,0.065415,0.037421,0.997156,0.000000,0.000000,0.000000,0.466540,0.201525,-0.342132,0.201302,0.080556,0.037379,0.996049,-0.035162,0.000000,0.000000,0.076693,2,0.449053,0.201525,0.050229,0.037454,0.998035,0.035162,0.000000,0.000000,0.073614,2,-0.324512,0.201302,72.474998,12.474135,5.356045,0.429372,0.905298,12.488280,5.107561,0.408988,0.914505
1000048582299720100,1746015873437516600,64498000,2.000000,9705333,1.000000,2,0.065521,0.037331,0.997153,0.000000,0.000000,0.000000,0.466633,0.201432,-0.342038,0.201208,0.080742,0.037290,0.996037,-0.035162,0.000000,0.000000,0.076673,2,0.449217,0.201432,0.050254,0.037364,0.998037,0.035162,0.000000,0.000000,0.073601,2,-0.324490,0.201208,72.474998,12.474135,5.354927,0.429282,0.905255,12.488280,5.106074,0.408869,0.914518
1000048582304721000,1746015873442517500,69498900,2.000000,9705334,1.000000,2,0.065485,0.037369,0.997154,0.000000,0.000000,0.000000,0.466602,0.201471,-0.342070,0.201248,0.080843,0.037327,0.996028,-0.035162,0.000000,0.000000,0.076626,2,0.449306,0.201471,0.050080,0.037403,0.998045,0.035162,0.000000,0.000000,0.073585,2,-0.324644,0.201248,72.474998,12.474135,5.353094,0.429135,0.905270,12.488280,5.104755,0.408764,0.914526
1000048582309718800,1746015873447515300,74496700,2.000000,9705335,1.000000,2,0.065644,0.037194,0.997150,0.000000,0.000000,0.000000,0.466741,0.201288,-0.341929,0.201064,0.080983,0.037152,0.996023,-0.035162,0.000000,0.000000,0.076623,2,0.449429,0.201288,0.050258,0.037227,0.998042,0.035162,0.000000,0.000000,0.073556,2,-0.324487,0.201064,72.474998,12.474135,5.351651,0.429020,0.905229,12.488280,5.103374,0.408653,0.914533
1000048582314719700,1746015873452516200,79497600,2.000000,9705336,1.000000,2,0.065345,0.037042,0.997175,0.000000,0.000000,0.000000,0.466477,0.201128,-0.342195,0.200905,0.080693,0.037000,0.996052,-0.035162,0.000000,0.000000,0.076619,2,0.449173,0.201128,0.049950,0.037075,0.998063,0.035162,0.000000,0.000000,0.073538,2,-0.324760,0.200905,72.474998,12.474135,5.350059,0.428892,0.905219,12.488280,5.102048,0.408547,0.914522
1000048582319718800,1746015873457515300,84496700,2.000000,9705337,1.000000,2,0.065367,0.036732,0.997185,0.000000,0.000000,0.000000,0.466496,0.200804,-0.342175,0.200580,0.080705,0.036690,0.996062,-0.035162,0.000000,0.000000,0.076610,2,0.449183,0.200804,0.049983,0.036765,0.998073,0.035162,0.000000,0.000000,0.073519,2,-0.324731,0.200580,72.474998,12.474135,5.348739,0.428786,0.905165,12.488280,5.100710,0.408440,0.914534
1000048582324719700,1746015873462516200,89497600,2.000000,9705338,1.000000,2,0.065266,0.036441,0.997202,0.000000,0.000000,0.000000,0.466405,0.200500,-0.342265,0.200275,0.080430,0.036401,0.996095,-0.035162,0.000000,0.000000,0.076602,2,0.448939,0.200500,0.050056,0.036473,0.998080,0.035162,0.000000,0.000000,0.073478,2,-0.324667,0.200275,72.474998,12.474135,5.347516,0.428688,0.905087,12.488280,5.098887,0.408294,0.914529
1000048582329718500,1746015873467515000,94496400,2.000000,9705339,1.000000,2,0.065323,0.036240,0.997206,0.000000,0.000000,0.000000,0.466455,0.200289,-0.342215,0.200064,0.080402,0.036200,0.996105,-0.035162,0.000000,0.000000,0.076583,2,0.448913,0.200289,0.050199,0.036272,0.998080,0.035162,0.000000,0.000000,0.073459,2,-0.324541,0.200064,72.474998,12.474135,5.346042,0.428570,0.905102,12.488280,5.097222,0.408160,0.914540
1000048582334716500,1746015873472513000,99494400,2.000000,9705340,1.000000,2,0.065473,0.035964,0.997206,0.000000,0.000000,0.000000,0.466587,0.200001,-0.342082,0.199775,0.080466,0.035924,0.996110,-0.035162,0.000000,0.000000,0.076573,2,0.448970,0.200001,0.050435,0.035995,0.998078,0.035162,0.000000,0.000000,0.073442,2,-0.324332,0.199775,72.474998,12.474135,5.344802,0.428471,0.905107,12.488280,5.095707,0.408039,0.914596
1000048582339716000,1746015873477512500,104493900,2.000000,9705341,1.000000,2,0.065449,0.035576,0.997222,0.000000,0.000000,0.000000,0.466564,0.199595,-0.342103,0.199368,0.080301,0.035537,0.996137,-0.035162,0.000000,0.000000,0.076555,2,0.448823,0.199595,0.050554,0.035607,0.998086,0.035162,0.000000,0.000000,0.073417,2,-0.324228,0.199368,72.474998,12.474135,5.343329,0.428353,0.905103,12.488280,5.094012,0.407903,0.914577
1000048582344718400,1746015873482514900,109496300,2.000000,9705342,1.000000,2,0.065308,0.035571,0.997231,0.000000,0.000000,0.000000,0.466440,0.199590,-0.342228,0.199363,0.080046,0.035533,0.996158,-0.035162,0.000000,0.000000,0.076550,2,0.448597,0.199590,0.050528,0.035601,0.998088,0.035162,0.000000,0.000000,0.073420,2,-0.324251,0.199363,72.474998,12.474135,5.341968,0.428244,0.905136,12.488280,5.092670,0.407796,0.914590
1000048582349717900,1746015873487514400,114495800,2.000000,9705343,1.000000,2,0.065306,0.035774,0.997224,0.000000,0.000000,0.000000,0.466438,0.199802,-0.342230,0.199575,0.080032,0.035735,0.996152,-0.035162,0.000000,0.000000,0.076550,2,0.448586,0.199802,0.050536,0.035804,0.998080,0.035162,0.000000,0.000000,0.073422,2,-0.324243,0.199575,72.474998,12.474135,5.340851,0.428154,0.905151,12.488280,5.091681,0.407717,0.914581
1000048582354721300,1746015873492517800,119499200,2.000000,9705344,1.000000,2,0.065350,0.035964,0.997214,0.000000,0.000000,0.000000,0.466478,0.200001,-0.342191,0.199775,0.080190,0.035925,0.996132,-0.035162,0.000000,0.000000,0.076516,2,0.448725,0.200001,0.050467,0.035995,0.998077,0.035162,0.000000,0.000000,0.073415,2,-0.324304,0.199775,72.474998,12.474135,5.339582,0.428052,0.905151,12.488280,5.090886,0.407653,0.914589
1000048582359720800,1746015873497517300,124498700,2.000000,9705345,1.000000,2,0.065497,0.036197,0.997196,0.000000,0.000000,0.000000,0.466609,0.200246,-0.342060,0.200020,0.080312,0.036158,0.996114,-0.035162,0.000000,0.000000,0.076498,2,0.448834,0.200246,0.050639,0.036229,0.998060,0.035162,0.000000,0.000000,0.073399,2,-0.324151,0.200020,72.474998,12.474135,5.338493,0.427965,0.905160,12.488280,5.090057,0.407587,0.914584
1000048582364720300,1746015873502516800,129498200,2.000000,9705346,1.000000,2,0.065558,0.036268,0.997189,0.000000,0.000000,0.000000,0.466663,0.200320,-0.342006,0.200094,0.080049,0.036230,0.996132,-0.035162,0.000000,0.000000,0.076454,2,0.448601,0.200320,0.051027,0.036299,0.998037,0.035162,0.000000,0.000000,0.073376,2,-0.323808,0.200094,72.474998,12.474135,5.336989,0.427844,0.905166,12.488280,5.089105,0.407510,0.914561
1000048582369719800,1746015873507516300,134497700,2.000000,9705347,1.000000,2,0.065555,0.036454,0.997183,0.000000,0.000000,0.000000,0.466661,0.200514,-0.342009,0.200289,0.080053,0.036416,0.996125,-0.035162,0.000000,0.000000,0.076451,2,0.448605,0.200514,0.051016,0.036485,0.998031,0.035162,0.000000,0.000000,0.073341,2,-0.323817,0.200289,72.474998,12.474135,5.335855,0.427753,0.905192,12.488280,5.087912,0.407415,0.914560
1000048582374719300,1746015873512515800,139497200,2.000000,9705348,1.000000,2,0.065640,0.036591,0.997172,0.000000,0.000000,0.000000,0.466736,0.200657,-0.341933,0.200433,0.080085,0.036552,0.996118,-0.035162,0.000000,0.000000,0.076414,2,0.448634,0.200657,0.051154,0.036622,0.998019,0.035162,0.000000,0.000000,0.073321,2,-0.323695,0.200433,72.474998,12.474135,5.334552,0.427649,0.905197,12.488280,5.086672,0.407316,0.914580
1000048582379721000,1746015873517517500,144498900,2.000000,9705349,1.000000,2,0.065564,0.037246,0.997153,0.000000,0.000000,0.000000,0.466671,0.201342,-0.342001,0.201119,0.080230,0.037206,0.996082,-0.035162,0.000000,0.000000,0.076412,2,0.448764,0.201342,0.050855,0.037278,0.998010,0.035162,0.000000,0.000000,0.073290,2,-0.323958,0.201119,72.474998,12.474135,5.333552,0.427569,0.905225,12.488280,5.085138,0.407193,0.914598
