time,hand,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,trigger_pressed,grip_pressed,primary_button_pressed,joystick_x,joystick_y,thumb,index,middle,ring,pinky
0.4473,Left,-0.3688,0.7111,0.6145,0.1363,0.6593,-0.3292,0.6621,-0.0051,0.0010,-0.0014,0.0094,-0.0351,0.0063,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.4473,Right,-0.1673,0.7111,0.3900,0.3002,0.1056,0.1460,0.9367,-0.0039,-0.0007,-0.0036,0.0009,0.0210,-0.0014,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.4795,Left,-0.3692,0.7112,0.6146,0.1365,0.6589,-0.3291,0.6625,-0.0085,0.0012,0.0009,0.0056,-0.0283,0.0020,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.4795,Right,-0.1675,0.7111,0.3899,0.3003,0.1060,0.1457,0.9367,-0.0042,-0.0001,-0.0033,-0.0054,0.0274,-0.0122,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.5123,Left,-0.3696,0.7113,0.6146,0.1366,0.6586,-0.3291,0.6628,-0.0106,0.0014,0.0001,-0.0004,-0.0220,-0.0022,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.5123,Right,-0.1677,0.7109,0.3899,0.3001,0.1062,0.1457,0.9367,-0.0047,-0.0015,-0.0027,-0.0052,0.0071,0.0058,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.5446,Left,-0.3699,0.7113,0.6146,0.1370,0.6583,-0.3290,0.6630,-0.0098,0.0015,0.0006,0.0130,-0.0255,-0.0039,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.5446,Right,-0.1680,0.7109,0.3898,0.3001,0.1062,0.1459,0.9367,-0.0076,-0.0020,-0.0027,-0.0036,0.0008,0.0001,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.5799,Left,-0.3701,0.7113,0.6148,0.1372,0.6579,-0.3290,0.6634,-0.0090,0.0015,0.0037,-0.0068,-0.0306,-0.0030,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.5799,Right,-0.1680,0.7108,0.3897,0.3000,0.1065,0.1455,0.9367,-0.0044,-0.0018,-0.0022,-0.0100,0.0205,-0.0109,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.6123,Left,-0.3704,0.7113,0.6146,0.1374,0.6578,-0.3288,0.6636,-0.0077,0.0015,-0.0021,0.0148,-0.0175,0.0002,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.6123,Right,-0.1682,0.7109,0.3895,0.3001,0.1071,0.1457,0.9366,-0.0039,-0.0005,-0.0054,0.0039,0.0289,0.0124,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.6474,Left,-0.3705,0.7113,0.6145,0.1372,0.6581,-0.3289,0.6633,-0.0044,0.0011,-0.0051,-0.0037,0.0265,0.0050,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.6474,Right,-0.1684,0.7107,0.3894,0.3001,0.1072,0.1453,0.9366,-0.0069,-0.0008,-0.0039,-0.0020,0.0147,-0.0171,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.6782,Left,-0.3705,0.7111,0.6142,0.1370,0.6581,-0.3289,0.6633,-0.0017,-0.0009,-0.0028,-0.0045,-0.0053,0.0059,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.6782,Right,-0.1687,0.7108,0.3893,0.3001,0.1073,0.1454,0.9366,-0.0055,0.0008,-0.0035,-0.0007,0.0052,0.0034,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.7109,Left,-0.3705,0.7111,0.6143,0.1372,0.6578,-0.3286,0.6637,-0.0004,-0.0009,0.0007,0.0074,-0.0340,0.0104,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
