Time,GazeOrigin,GazeForward,FocusDistance,FocusStability
24.65808,(0.00, 0.00, 0.00),(0.19, 0.17, 0.97),2,0
24.69178,(0.00, 0.00, 0.00),(0.13, 0.17, 0.98),2,0
24.7251,(0.00, 0.00, 0.00),(0.13, 0.17, 0.98),2,0.09946777
24.75836,(0.00, 0.00, 0.00),(0.13, 0.17, 0.98),2,0.957652
24.7924,(0.00, 0.00, 0.00),(0.13, 0.17, 0.98),2,1
24.82417,(0.00, 0.00, 0.00),(0.13, 0.17, 0.98),2,0.456677
24.85779,(0.00, 0.00, 0.00),(0.13, 0.17, 0.98),2,0.09032584
24.8918,(0.00, 0.00, 0.00),(0.13, 0.17, 0.98),2,0.1801649
24.92319,(0.00, 0.00, 0.00),(0.13, 0.16, 0.98),2,0.3671335
24.95782,(0.00, 0.00, 0.00),(0.08, 0.11, 0.99),2,0
24.99093,(0.00, 0.00, 0.00),(0.03, 0.07, 1.00),2,0
25.02411,(0.00, 0.00, 0.00),(0.02, 0.05, 1.00),2,0
25.05804,(0.00, 0.00, 0.00),(0.02, 0.05, 1.00),2,0.62424
25.09157,(0.00, 0.00, 0.00),(0.02, 0.04, 1.00),2,0.953904
25.1249,(0.00, 0.00, 0.00),(0.01, 0.04, 1.00),2,0.9809002
25.15616,(0.00, 0.00, 0.00),(0.01, 0.03, 1.00),2,0.6487036
25.1926,(0.00, 0.00, 0.00),(0.00, 0.02, 1.00),2,0.5948655
25.22547,(0.00, 0.00, 0.00),(-0.01, 0.01, 1.00),2,0.5881444
25.25877,(0.00, 0.00, 0.00),(-0.01, 0.01, 1.00),2,0.9887961
25.2916,(0.00, 0.00, 0.00),(-0.01, 0.01, 1.00),2,1
25.32637,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.35898,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.39165,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.42366,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.45787,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.48941,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.52471,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.55853,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.59061,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.62481,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,0.9919588
25.65772,(0.00, 0.00, 0.00),(-0.01, 0.00, 1.00),2,1
25.69123,(0.00, 0.00, 0.00),(-0.02, -0.01, 1.00),2,1
25.7256,(0.00, 0.00, 0.00),(-0.02, -0.01, 1.00),2,1
25.75769,(0.00, 0.00, 0.00),(-0.02, -0.01, 1.00),2,1
25.79264,(0.00, 0.00, 0.00),(-0.02, -0.01, 1.00),2,1
